tick,num_nodes,num_edges,total_mass,mass_variance,kinetic_energy,potential_energy,total_energy,total_momentum_scalar,total_momentum_algebraic,vorticity_global
173,2006,3941,469.6653404032662,0.37957012096075826,7193245727.520106,10597.60413333004,7193256325.12424,25639.49893236271,0,0.04166377114193829
174,1987,3925,469.6586906958307,0.4407111189315589,35602037107.97752,11317.33599001767,35602048425.313515,16451.68340318955,0,0.39456632813259573
175,1968,3907,469.7199655850331,0.4563893251855012,6586477204.293699,11597.227851127684,6586488801.52155,27026.313041966227,0,0.5783406838144545
176,1967,3911,469.7567226108968,0.47522131980189375,11309014513.381544,12135.15576431736,11309026648.537308,20516.693487293567,0,0.5863963401728642
177,1975,3923,469.6412397764507,0.33276779873281703,11748372654.552357,10047.290523223755,11748382701.84288,30338.22077763853,0,0.6739722136805482
178,1985,3935,469.70818090559,0.46011300806125977,6301691731.515538,11515.270290158089,6301703246.785829,20469.18962439208,0,0.26743439771989463
179,1953,3895,469.56655499870715,0.3325662102771228,19050737631.003166,10073.928840752613,19050747704.932007,25911.11137170949,0,4.52610631364712
180,1962,3904,469.6084635467782,0.3065201928426058,6301295213.306894,9774.962656210111,6301304988.26955,22149.08054027686,0,0.0054177031471422605
181,1945,3895,469.65634462656527,0.5822521782256003,9226005276.658234,12430.556063506883,9226017707.214296,25370.400559951817,0,0.6443376825037499
182,1944,3894,469.4875926874755,0.3713426263137519,9322012365.32843,10286.72521186546,9322022652.053642,22105.9510539009,0,0.971925246781535
183,1937,3886,469.57149351807095,0.4232642002547754,57723193682.183655,10685.696721919718,57723204367.88038,27028.57799738165,0,0.05513548923219599
184,1933,3884,469.3436155836165,0.5541220217162878,5393389682.091014,11959.82660284561,5393401641.917617,18323.65068845373,0,1.029843355892352
185,1932,3882,469.4103303380464,0.4222833070565662,5976674635.430656,10618.799471023054,5976685254.230127,22976.519809889676,0,0.5021059185288749
186,1937,3887,469.4702857193894,0.5303804320645875,5731717404.160904,11260.06481810829,5731728664.225722,19089.799423562246,0,0.6890053222210624
187,1939,3888,469.4933230066857,0.580635215981919,4600933935.532581,11745.33761137548,4600945680.870193,22815.26164266549,0,1.0772963963974351
188,1935,3883,469.5819026221326,0.6278294761770357,4682908471.52977,12441.699582598723,4682920913.229353,18876.206354368896,0,0.635297274344482
189,1940,3889,469.69143635328686,0.514579489543318,4758397388.670036,11377.150668601364,4758408765.820704,22833.54101591831,0,0.6043763288453278
