tick,n1,n2,total_mass
212,281,3412,1350.9494254884198
213,276,3497,1347.1968549950348
214,266,3541,1342.2505332814078
215,262,3614,1336.607671425252
216,256,3647,1330.2544117971065
217,248,3721,1322.059792087235
218,241,3766,1313.0695176171805
219,233,3836,1304.6491939878083
220,217,3888,1295.1669489791532
221,204,3964,1285.0379074681257
222,196,3997,1274.0404958418444
223,193,4047,1262.1134543385915
224,192,4100,1249.5122334581197
225,185,4160,1236.052998014865
226,177,4215,1221.9166394379788
227,171,4275,1207.2106098445138
228,167,4344,1191.616022744203
229,161,4376,1173.953681000719
230,159,4459,1157.2258465415025
231,157,4495,1137.5977206007697
232,151,4592,1119.633266113435
233,142,4601,1100.3902532846953
234,142,4667,1080.830630552597
235,142,4687,1060.6301364984988
236,140,4754,1039.9347726755325
237,134,4791,1018.326810622548
238,130,4852,995.610727168216
239,127,4870,972.8433510924192
240,127,4924,949.83855179522
241,126,4944,926.236964758955
242,124,4966,902.075979344008
243,123,4965,877.316744525292
244,124,4963,852.0715346698792
245,121,4952,825.7214422651502
246,119,4946,798.2284332103457
247,117,4930,771.4759038933759
248,116,4912,744.0385523765441
249,117,4883,716.2166563724098
250,116,4870,688.3321485256628
251,115,4828,659.9734355375363
252,113,4796,630.6462341316367
253,111,4749,601.4566809169901
254,108,4714,571.8488442561751
255,107,4664,541.6959309115223
256,104,4618,511.39570609856474
257,101,4576,480.88268984448155
258,98,4510,448.651488740549
259,94,4453,416.4041742348211
260,91,4382,384.9491081118796
261,90,4279,351.7965163536231
262,89,4171,320.3031935025447
263,88,4069,289.9291453703417
264,85,3978,265.73791520032347
265,85,3893,244.13765389022865
266,84,3805,228.5845086368965
267,86,3737,219.73486819238195
