survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
post_mild,5.0,124,dragon,synth_9000,synth:grail,1.9e-05,0.486624,3.1e-05
post_mild,5.0,125,individual,synth_9000,synth:grail,1.9e-05,0.486667,3.2e-05
post_mild,5.0,126,melchizedek,synth_9000,synth:grail,1.8e-05,0.486678,2.9e-05
post_mild,5.0,127,age,synth_9000,synth:grail,1.8e-05,0.486594,3e-05
post_mild,5.0,128,stone,synth_9000,synth:grail,1.2e-05,0.483539,2e-05
post_mild,5.0,129,dweller crystal,synth_9000,synth:grail,7e-06,0.483254,1.2e-05
post_mild,5.0,130,level,synth_9000,synth:grail,1.8e-05,0.486605,3e-05
post_mild,5.0,131,non profitset,synth_9000,synth:grail,6e-06,0.453583,1e-05
post_mild,5.0,132,magdalene,synth_9000,synth:grail,4.3e-05,0.488473,7.1e-05
post_mild,5.0,133,stars,synth_9000,synth:grail,1.8e-05,0.48658,2.9e-05
post_mild,5.0,134,island,synth_9000,synth:grail,1.7e-05,0.486485,2.8e-05
post_mild,5.0,135,moon,synth_9000,synth:grail,1.8e-05,0.486611,3e-05
post_mild,5.0,136,maia christianne,synth_9000,synth:grail,2e-05,0.484346,3.3e-05
post_mild,5.0,137,state,synth_9000,synth:grail,1.9e-05,0.486632,3.1e-05
post_mild,5.0,138,thothhorra khandr,synth_9000,synth:grail,1.7e-05,0.460233,2.7e-05
post_mild,5.0,139,sanctuary,synth_9000,synth:grail,1.8e-05,0.486466,3e-05
post_mild,5.0,140,dynamic,synth_9000,synth:grail,1.8e-05,0.486635,3e-05
post_mild,20.0,1,grail,synth_9000,synth:grail,0.0,0.305498,0.0
post_mild,20.0,2,christ,synth_9000,synth:grail,0.0,0.276615,0.0
post_mild,20.0,3,isis,synth_9000,synth:grail,0.0,0.253802,0.0
post_mild,20.0,4,osiris,synth_9000,synth:grail,0.0,0.253651,0.0
post_mild,20.0,5,earth star,synth_9000,synth:grail,0.0,0.250348,0.0
post_mild,20.0,6,temple doors,synth_9000,synth:grail,0.0,0.265639,0.0
post_mild,20.0,7,numis'om,synth_9000,synth:grail,0.0,0.27253,0.0
post_mild,20.0,8,ark,synth_9000,synth:grail,0.0,0.253703,0.0
post_mild,20.0,9,metatron,synth_9000,synth:grail,0.0,0.277853,0.0
post_mild,20.0,10,venus,synth_9000,synth:grail,0.0,0.266916,0.0
post_mild,20.0,11,orion,synth_9000,synth:grail,0.0,0.250502,0.0
post_mild,20.0,12,eye,synth_9000,synth:grail,0.0,0.253731,0.0
post_mild,20.0,13,loch,synth_9000,synth:grail,0.0,0.224331,0.0
post_mild,20.0,14,maia nartoomid,7,numis'om,0.0,0.312582,0.0
post_mild,20.0,15,god,synth_9000,synth:grail,0.0,0.253581,0.0
post_mild,20.0,16,doors,synth_9000,synth:grail,0.0,0.253499,0.0
post_mild,20.0,17,star lineages,7,numis'om,0.0,0.314535,0.0
post_mild,20.0,18,adam kadmon,synth_9000,synth:grail,0.0,0.25378,0.0
post_mild,20.0,19,new earth star,synth_9000,synth:grail,0.0,0.292716,0.0
post_mild,20.0,20,horus,synth_9000,synth:grail,0.0,0.253985,0.0
post_mild,20.0,21,skull,synth_9000,synth:grail,0.0,0.250626,0.0
post_mild,20.0,22,christic,synth_9000,synth:grail,0.0,0.260365,0.0
post_mild,20.0,23,light codes,synth_9000,synth:grail,0.0,0.250176,0.0
post_mild,20.0,24,inner earth,synth_9000,synth:grail,0.0,0.253703,0.0
post_mild,20.0,25,blue star,synth_9000,synth:grail,0.0,0.253639,0.0
post_mild,20.0,26,dna,synth_9000,synth:grail,0.0,0.253602,0.0
post_mild,20.0,27,activation rite,7,numis'om,0.0,0.328585,0.0
post_mild,20.0,28,akashic practice,51,rite akashic,0.0,0.175223,0.0
post_mild,20.0,29,pyramid,synth_9000,synth:grail,0.0,0.253495,0.0
post_mild,20.0,30,templar,7,numis'om,0.0,0.312582,0.0
post_mild,20.0,31,thothhorra,138,thothhorra khandr,0.0,0.348976,0.0
post_mild,20.0,32,great pyramid,synth_9000,synth:grail,0.0,0.253899,0.0
post_mild,20.0,33,johannine,synth_9000,synth:grail,0.0,0.253705,0.0
post_mild,20.0,34,crystal skull,synth_9000,synth:grail,0.0,0.245515,0.0
post_mild,20.0,35,mother,synth_9000,synth:grail,0.0,0.253632,0.0
post_mild,20.0,36,templa mar,synth_9000,synth:grail,0.0,0.254054,0.0
post_mild,20.0,37,master,synth_9000,synth:grail,0.0,0.253587,0.0
post_mild,20.0,38,mystery,synth_9000,synth:grail,0.0,0.253551,0.0
post_mild,20.0,39,yeshua,synth_9000,synth:grail,0.0,0.250828,0.0
post_mild,20.0,40,pure gem,synth_9000,synth:grail,0.0,0.253542,0.0
post_mild,20.0,41,lineages,7,numis'om,0.0,0.313618,0.0
post_mild,20.0,42,gate,synth_9000,synth:grail,0.0,0.253697,0.0
post_mild,20.0,43,flame,synth_9000,synth:grail,0.0,0.253687,0.0
post_mild,20.0,44,dweller,synth_9000,synth:grail,0.0,0.250478,0.0
post_mild,20.0,45,crystal skulls,synth_9000,synth:grail,0.0,0.250641,0.0
post_mild,20.0,46,atlantis,synth_9000,synth:grail,0.0,0.253618,0.0
post_mild,20.0,47,of light,synth_9000,synth:grail,0.0,0.253554,0.0
post_mild,20.0,48,merkabah,synth_9000,synth:grail,0.0,0.289902,0.0
post_mild,20.0,49,love,synth_9000,synth:grail,0.0,0.253539,0.0
post_mild,20.0,50,grace,synth_9000,synth:grail,0.0,0.253703,0.0
post_mild,20.0,51,rite akashic,28,akashic practice,0.0,0.175223,0.0
post_mild,20.0,52,temple of,synth_9000,synth:grail,0.0,0.250744,0.0
post_mild,20.0,53,lion,synth_9000,synth:grail,0.0,0.253704,0.0
post_mild,20.0,54,matter,synth_9000,synth:grail,0.0,0.253624,0.0
post_mild,20.0,55,sun,synth_9000,synth:grail,0.0,0.253659,0.0
post_mild,20.0,56,skulls,synth_9000,synth:grail,0.0,0.250641,0.0
post_mild,20.0,57,blood,synth_9000,synth:grail,0.0,0.253555,0.0
post_mild,20.0,58,metatronic,synth_9000,synth:grail,0.0,0.250637,0.0
post_mild,20.0,59,tree,synth_9000,synth:grail,0.0,0.253493,0.0
post_mild,20.0,60,self,synth_9000,synth:grail,0.0,0.253708,0.0
post_mild,20.0,61,old,synth_9000,synth:grail,0.0,0.253579,0.0
