survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
baseline,20.0,60,self,2,christ,0.0,0.638992,0.0
baseline,20.0,61,old,2,christ,0.0,0.639738,0.0
baseline,20.0,62,king,2,christ,0.0,0.599295,0.0
baseline,20.0,63,set,2,christ,0.0,0.63137,0.0
baseline,20.0,64,john,22,christic,0.0,0.622512,0.0
baseline,20.0,65,atlantean,46,atlantis,0.0,0.796833,0.0
baseline,20.0,66,jesus,2,christ,0.0,0.516362,0.0
baseline,20.0,67,spirit heart,67,spirit heart,3e-06,0.530794,1.1e-05
baseline,20.0,68,nature,94,christos,0.0,0.54259,0.0
baseline,20.0,69,heart sanctuary,69,heart sanctuary,0.0,0.555742,0.0
baseline,20.0,70,adam,70,adam,0.0,0.804882,0.0
baseline,20.0,71,crystal,71,crystal,0.0,0.754265,0.0
baseline,20.0,72,isis eye,136,maia christianne,0.0,0.598409,0.0
baseline,20.0,73,mari,35,mother,0.0,0.750031,0.0
baseline,20.0,74,egypt,74,egypt,0.0,0.634123,0.0
baseline,20.0,75,central,2,christ,0.0,0.617089,0.0
baseline,20.0,76,logos,2,christ,0.0,0.645128,0.0
baseline,20.0,77,temporal alchemy,77,temporal alchemy,0.0,0.614073,0.0
baseline,20.0,78,knowledge,2,christ,0.0,0.637252,0.0
baseline,20.0,79,par,7,numis'om,0.0,0.478022,0.0
baseline,20.0,80,city,2,christ,0.0,0.629069,0.0
baseline,20.0,81,alchemy star,81,alchemy star,0.0,0.614073,0.0
baseline,20.0,82,johannine grove,7,numis'om,0.0,0.42537,0.0
baseline,20.0,83,rose,138,thothhorra khandr,0.0,0.576847,0.0
baseline,20.0,84,mysteries,2,christ,0.0,0.65171,0.0
baseline,20.0,85,tehuti,85,tehuti,0.0,0.606125,0.0
baseline,20.0,86,black,2,christ,0.0,0.631183,0.0
baseline,20.0,87,crystals,2,christ,0.0,0.645902,0.0
baseline,20.0,88,prima matra,136,maia christianne,0.0,0.669724,0.0
baseline,20.0,89,mystery school,7,numis'om,0.0,0.508789,0.0
baseline,20.0,90,christine hayes,2,christ,0.0,0.47972,0.0
baseline,20.0,91,goddess,35,mother,0.0,0.78376,0.0
baseline,20.0,92,plain,2,christ,0.0,0.551953,0.0
baseline,20.0,93,lotus,93,lotus,0.0,0.566088,0.0
baseline,20.0,94,christos,138,thothhorra khandr,2e-06,0.75224,7e-06
baseline,20.0,95,book,2,christ,0.0,0.631475,0.0
baseline,20.0,96,kadmon,70,adam,0.0,0.767978,0.0
baseline,20.0,97,queen,97,queen,0.0,0.815923,0.0
baseline,20.0,98,simeon,19,new earth star,0.0,0.507019,0.0
baseline,20.0,99,grid,99,grid,0.0,0.651146,0.0
baseline,20.0,100,name,2,christ,0.0,0.634176,0.0
baseline,20.0,101,the sun,2,christ,0.0,0.619577,0.0
baseline,20.0,102,presence,2,christ,0.0,0.640115,0.0
baseline,20.0,103,sea,94,christos,0.0,0.53596,0.0
baseline,20.0,104,church,48,merkabah,0.0,0.582911,0.0
baseline,20.0,105,egyptian,4,osiris,0.0,0.617511,0.0
baseline,20.0,106,free information,115,please support,0.0,0.835431,0.0
baseline,20.0,107,holorian,48,merkabah,0.0,0.613539,0.0
baseline,20.0,108,space,2,christ,0.0,0.640115,0.0
baseline,20.0,109,high,2,christ,0.0,0.640115,0.0
baseline,20.0,110,forms,2,christ,0.0,0.629394,0.0
baseline,20.0,111,mar,59,tree,0.0,0.781968,0.0
baseline,20.0,112,rite,112,rite,0.0,0.562052,0.0
baseline,20.0,113,practice,113,practice,0.0,0.562052,0.0
baseline,20.0,114,lord,2,christ,0.0,0.582173,0.0
baseline,20.0,115,please support,106,free information,0.0,0.835431,0.0
baseline,20.0,116,lady,31,thothhorra,0.0,0.525639,0.0
baseline,20.0,117,gem,40,pure gem,0.0,0.62648,0.0
baseline,20.0,118,mazur,48,merkabah,0.0,0.591772,0.0
baseline,20.0,119,kyi,106,free information,0.0,0.864482,0.0
baseline,20.0,120,sirius,120,sirius,0.0,0.767232,0.0
baseline,20.0,121,valley,25,blue star,0.0,0.633292,0.0
