Step | S_RX0 rho / p | P_Bus0 rho / p | Val0 Bridge (S9) | Val0 Hub (S0) | Val0 Spoke (S1)
-----------------------------------------------------------------------------------------
  82 | 295.1/5.51  |  14.8/5.52  |  14.872/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  83 | 295.1/5.51  |  14.8/5.52  |  14.868/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  84 | 295.2/5.51  |  14.8/5.52  |  14.864/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  85 | 295.2/5.51  |  14.8/5.53  |  14.861/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  86 | 295.2/5.52  |  14.9/5.53  |  14.858/5.53 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  87 | 295.3/5.52  |  14.9/5.53  |  14.854/5.53 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  88 | 295.3/5.52  |  14.9/5.53  |  14.851/5.53 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  89 | 295.3/5.52  |  14.9/5.53  |  14.847/5.53 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  90 | 295.3/5.52  |  14.9/5.53  |  14.843/5.53 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  91 | 295.4/5.52  |  14.8/5.52  |  14.840/5.53 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  92 | 295.4/5.52  |  14.8/5.52  |  14.837/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  93 | 295.4/5.52  |  14.8/5.52  |  14.834/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  94 | 295.4/5.52  |  14.8/5.52  |  14.832/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  95 | 295.4/5.52  |  14.8/5.52  |  14.830/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  96 | 295.4/5.52  |  14.8/5.51  |  14.828/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  97 | 295.4/5.52  |  14.8/5.51  |  14.826/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  98 | 295.5/5.52  |  14.8/5.52  |  14.825/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  99 | 295.5/5.52  |  14.8/5.52  |  14.824/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 100 | 295.5/5.52  |  14.8/5.52  |  14.823/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 101 | 295.5/5.52  |  14.8/5.52  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
