schema,runId,runIndex,repIndex,wantId,pressCUsed,baseDampUsed,busThreshUsed,ampB,ampD,ampSum,tick,tMs,lateByMs,basin,sumAbsFlux,meanAbsP,maxAbsEdgeFlux,maxEdgeIndex,maxEdgeFrom,maxEdgeTo,maxEdgeFlux,concentration,flux_114_89,flux_114_79,flux_136_89,flux_136_79
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,10,2000,0.0,90,577.173965,3.249833,5.076403,181,90,128,5.076403,0.008795,0.525623,0.524320,0.069929,0.068457
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,11,2200,0.0,90,574.675143,3.188497,5.107541,181,90,128,5.107541,0.008888,0.500796,0.501042,0.064481,0.064849
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,12,2400,0.0,90,567.280615,3.126063,5.152694,181,90,128,5.152694,0.009083,0.470600,0.472373,0.055142,0.057317
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,13,2600,0.0,90,568.501682,3.065731,5.208290,181,90,128,5.208290,0.009161,0.436061,0.439217,0.041328,0.045133
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,14,2800,0.0,90,575.104928,3.013320,5.270939,181,90,128,5.270939,0.009165,0.398797,0.403116,0.022879,0.028048
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,15,3000,0.0,90,581.553385,2.986475,5.306892,181,90,128,5.306892,0.009125,0.360816,0.366058,-0.005513,0.000731
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,16,3200,0.0,90,580.683331,2.955627,5.298042,181,90,128,5.298042,0.009124,0.323856,0.329763,-0.048274,-0.041261
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,17,3400,0.0,90,574.959185,2.921026,5.242075,181,90,128,5.242075,0.009117,0.289037,0.295314,-0.106498,-0.099062
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,18,3600,0.0,90,569.036760,2.889827,5.136940,181,90,128,5.136940,0.009027,0.257000,0.263327,-0.179839,-0.172357
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,19,3800,0.0,90,556.146005,2.857500,4.979599,181,90,128,4.979599,0.008954,0.228153,0.234210,-0.265783,-0.258627
