schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,2,400,0.0,82,82,23,0.117969,90,89,0.113242,0.052799,0.052799,0.078877,0.078876,-0.000001,0,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,3,600,0.0,82,82,23,0.114106,82,89,0.107756,0.070406,0.070405,0.093640,0.093639,-0.000001,0,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,4,800,0.0,82,82,23,0.109586,136,89,0.104195,0.083469,0.083468,0.104195,0.104194,-0.000001,0,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,5,1000,0.0,82,136,89,0.111279,136,79,0.111278,0.092763,0.092762,0.111279,0.111278,-0.000001,1,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,6,1200,0.0,82,136,89,0.115521,136,79,0.115520,0.104750,0.104749,0.115521,0.115520,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,7,1400,0.0,82,136,89,0.117454,136,79,0.117453,0.112936,0.112935,0.117454,0.117453,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,8,1600,0.0,82,114,89,0.118003,114,79,0.118002,0.118003,0.118002,0.117531,0.117530,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,9,1800,0.0,82,114,89,0.120532,114,79,0.120530,0.120532,0.120530,0.116137,0.116135,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,10,2000,0.0,82,114,89,0.121015,114,79,0.121014,0.121015,0.121014,0.113592,0.113591,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,11,2200,0.0,82,114,89,0.119871,114,79,0.119870,0.119871,0.119870,0.110169,0.110167,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,12,2400,0.0,82,114,89,0.117452,114,79,0.117450,0.117452,0.117450,0.106082,0.106081,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,13,2600,0.0,82,114,89,0.114052,114,79,0.114050,0.114052,0.114050,0.101518,0.101516,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,14,2800,0.0,82,114,89,0.109919,114,79,0.109917,0.109919,0.109917,0.096631,0.096630,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,15,3000,0.0,82,114,89,0.105257,114,79,0.105255,0.105257,0.105255,0.091551,0.091549,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,16,3200,0.0,82,114,89,0.100236,114,79,0.100234,0.100236,0.100234,0.086380,0.086378,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,17,3400,0.0,82,114,89,0.094994,114,79,0.094993,0.094994,0.094993,0.081202,0.081201,-0.000002,1,6
